id,st_num,st_name,obs_date,obs_time,lat,lng,prcp,colors
94ca72af-b592-455c-8b09-885507ce57b5,VT-CL-14,Lyndonville 1.1 W,7/11/2024,7:00 AM,44.53582,-72.02867,3.73,3.50 - 5.24 in.
34e3c993-628a-44bb-8b03-808dd34d953e,VT-CH-67,Charlotte 1.1 E,7/11/2024,7:00 AM,44.3120981,-73.2317092,5.39,5.25 - 5.82 in.
08380375-16c1-4030-9af4-3afc7a61d822,VT-WR-17,Rochester 2.3 NE,7/11/2024,7:00 AM,43.894184,-72.769929,0.84,0.59 - 1.45 in.
c8c2ec4b-93b4-4c37-bd28-4406ecde5ee4,VT-BN-7,Manchester 2.8 ENE,7/11/2024,7:00 AM,43.172748,-73.018112,0.22,0.01 - 0.29 in.
0138ebc6-0894-46e6-8444-69b8de34c112,VT-LM-27,Wolcott 2.0 WSW,7/11/2024,7:00 AM,44.544182,-72.509168,4.58,3.50 - 5.24 in.
f18a4ea4-dc69-45e7-8d22-002690ad8ec0,VT-WS-23,Cabot 2.3 E,7/11/2024,7:00 AM,44.398067,-72.265686,4.05,3.50 - 5.24 in.
199a37e4-aafd-4ba5-913c-6a5de24451ca,VT-CH-4,Underhill 4.4 NNE,7/11/2024,7:00 AM,44.587739,-72.922508,1.64,1.46 - 3.49 in.
5f1a8059-638d-4452-a5e9-20b808d2cb97,VT-OL-25,Newport 1.5 WSW,7/11/2024,7:00 AM,44.930594,-72.237313,3.43,1.46 - 3.49 in.
e62e0185-1a40-4c37-9b8f-1877f4266313,VT-WR-13,Proctorsville 0.3 NNE,7/11/2024,7:00 AM,43.386181,-72.635913,0.09,0.01 - 0.29 in.
aa2448ab-f0d7-41c6-8114-46fa82b278d5,VT-WH-26,Westminster 5.5 NW,7/11/2024,7:00 AM,43.125729,-72.534195,0.02,0.01 - 0.29 in.
a2c46dfa-01ba-4387-b899-a83f6f930fa2,VT-AD-34,Vergennes 6.0 W,7/11/2024,7:00 AM,44.179429,-73.370927,5.26,5.25 - 5.82 in.
874c5851-6f7d-4fa5-93ae-9678dc5b51de,VT-WR-10,West Windsor 1.7 S,7/11/2024,7:00 AM,43.46164316,-72.49197856,0.16,0.01 - 0.29 in.
05c8aa36-7e53-4af8-b571-ba50b65f6f31,VT-WS-10,Northfield 1.5 N,7/11/2024,7:00 AM,44.169862,-72.652033,2.42,1.46 - 3.49 in.
962266dd-8d12-4d8c-b135-cc360c99d354,VT-WS-47,East Montpelier 0.7 W,7/11/2024,7:00 AM,44.27234,-72.50022,2.65,1.46 - 3.49 in.
3e2f7419-fe2a-4288-9d26-d566e0a71907,VT-RT-7,Rutland 1.2 N,7/11/2024,7:00 AM,43.625329,-72.977938,0.42,0.30 - 0.58 in.
ad66a3bb-378a-4711-bca9-8c9ef64e4c0d,VT-CH-72,Milton 2.9 SSE,7/11/2024,7:00 AM,44.58295,-73.10172,1.99,1.46 - 3.49 in.
99be3318-de7f-475b-bfe9-175bb35bd342,VT-CH-57,Underhill 3.6 ESE,7/11/2024,7:00 AM,44.501129,-72.88108,3.2,1.46 - 3.49 in.
d327f7b4-5e43-4d96-a9f4-73c5bad38642,VT-AD-21,Middlebury 0.4 NE,7/11/2024,7:00 AM,44.01763,-73.16466,1.96,1.46 - 3.49 in.
9e347ee1-0f41-4a5f-82f7-96dc7ca65e91,VT-OG-15,Chelsea 0.2 ESE,7/11/2024,7:00 AM,43.987289,-72.444091,0.87,0.59 - 1.45 in.
270bac5c-20ac-4bae-8c71-13fe86ef72d2,VT-CL-29,St. Johnsbury 5.2 NNW,7/11/2024,7:00 AM,44.484906,-72.070127,3.51,3.50 - 5.24 in.
f0bc9595-4092-4853-96d0-6aa832d1cd11,VT-FR-27,Sheldon 2.7 N,7/11/2024,7:00 AM,44.9194,-72.950431,1.72,1.46 - 3.49 in.
fa12783f-4a88-453f-ac33-503d584e0b3e,VT-FR-28,Swanton 3.0 SW,7/11/2024,7:02 AM,44.88795,-73.16711,2.07,1.46 - 3.49 in.
0dc50aac-1c23-4078-aa09-77d1106226e5,VT-CH-69,Richmond 1.7 SW,7/11/2024,7:10 AM,44.39057,-73.02119,5.48,5.25 - 5.82 in.
4faf53e7-3051-44f3-95ed-07a43978d584,VT-WS-43,Waitsfield 0.7 SSE,7/11/2024,7:14 AM,44.18,-72.82,3.18,1.46 - 3.49 in.
4e5f670c-d9b6-4720-a7d3-2fccde8acf0c,VT-BN-10,South Shaftsbury 0.1 W,7/11/2024,7:17 AM,42.94538,-73.21244,0.06,0.01 - 0.29 in.
e8bf485a-c38d-467c-a1c0-ceae16a7fe30,VT-OG-10,Braintree 2.8 SW,7/11/2024,7:30 AM,43.9357,-72.7483,0.75,0.59 - 1.45 in.
1de64615-755b-44b1-b6db-ac5c847294ac,VT-LM-1,Stowe 0.2 SW,7/11/2024,7:30 AM,44.46399,-72.69071,4.17,3.50 - 5.24 in.
595d2919-de20-49de-8a3f-fc4d7cd28063,VT-LM-16,Morrisville 1.2 ESE,7/11/2024,7:32 AM,44.550266,-72.574142,3.22,1.46 - 3.49 in.
9eec4442-e104-43bd-94ab-c1f82964eddf,VT-WS-22,Warren 3.3 SSE,7/11/2024,7:39 AM,44.0679019,-72.833595,1.75,1.46 - 3.49 in.
d87ccc0b-7830-466f-ae70-82490de7329a,VT-AD-38,Bristol 3.9 NNW,7/11/2024,8:00 AM,44.184137,-73.12005,4.84,3.50 - 5.24 in.
709f0572-3c99-4ba1-9c4f-4a59d03b6196,VT-RT-13,West Rutland 0.9 SSE,7/11/2024,8:00 AM,43.580632,-73.04067,0.42,0.30 - 0.58 in.
2af2c9eb-6e8e-4ce2-a67b-7b07dea3b97f,VT-WS-42,Moretown 2.1 N,7/11/2024,8:00 AM,44.280263,-72.756549,4.95,3.50 - 5.24 in.
f1ee4353-eb62-485e-a68c-41f1e5226676,VT-AD-36,Shoreham 3.5 NNE,7/11/2024,8:00 AM,43.9418167,-73.2832017,1.2,0.59 - 1.45 in.
7a5e5a3b-ce50-4a24-a5e7-b401fe939527,VT-RT-34,Pittsfield 2.5 S,7/11/2024,8:00 AM,43.736144,-72.816642,0.43,0.30 - 0.58 in.
296f5f8b-e968-40c6-b00b-c904dcb0aca3,VT-RT-32,Wallingford 2.8 ESE,7/11/2024,8:00 AM,43.45396,-72.92748,0.63,0.59 - 1.45 in.
bf0c3ae5-92df-4832-baaf-ef2d503a945b,VT-WH-30,Marlboro 2.0 NNE,7/11/2024,8:00 AM,42.88484,-72.70935,0,0 in.
7d5899d4-47d9-488c-b48b-baed6a9d3c08,VT-OL-28,Westmore 1.3 SW,7/11/2024,8:00 AM,44.756723,-72.072318,3.94,3.50 - 5.24 in.
4dbe4771-9217-4e03-b309-04da9724f119,VT-LM-20,Stowe 2.4 NNW,7/11/2024,8:00 AM,44.4992743,-72.697967,3.95,3.50 - 5.24 in.
539ea974-a5e8-4ee3-b5e0-8c8d7ed171cd,VT-WS-40,Woodbury 1.3 NNW,7/11/2024,8:00 AM,44.457623,-72.42671,4.29,3.50 - 5.24 in.
5f429821-1eb4-4c05-b58b-c15112b418af,VT-WR-33,Hartland 4.1 W,7/11/2024,8:00 AM,43.53358,-72.48047,0.16,0.01 - 0.29 in.
e9032389-ada2-4232-8f54-0ed1745e4e2b,VT-AD-39,Leicester 1.3 E,7/11/2024,8:00 AM,43.86291,-73.08222,0.8,0.59 - 1.45 in.
92698885-7b39-474e-b58e-2a7de8424b39,VT-CH-56,Williston 2.9 NW,7/11/2024,8:04 AM,44.46112,-73.11737,2.4,1.46 - 3.49 in.
d66a9fd3-bf3c-4fdc-82c8-1cd1f31a1fc6,VT-WR-29,Bethel 3.5 WNW,7/11/2024,8:23 AM,43.8444,-72.70255,0.72,0.59 - 1.45 in.
49b82e89-68a2-46fa-b77d-cadd0374a8f2,VT-AD-30,Ripton 1.0 E,7/11/2024,8:30 AM,43.97331,-73.01454,1.42,0.59 - 1.45 in.
e71c8f2d-933d-4900-b097-8849b2a5b7b1,VT-AD-32,Starksboro 4.4 ENE,7/11/2024,9:00 AM,44.244617,-72.970855,4.97,3.50 - 5.24 in.
dd2cebbc-bd04-4d0d-8ab2-6ab9d30044ff,VT-FR-21,Fairfax 4.9 WNW,7/11/2024,9:00 AM,44.6888,-73.1034,3.47,1.46 - 3.49 in.
d7c9fdc4-574f-414a-a3ca-3973fffe0bf6,VT-WS-7,Middlesex 3.1 ENE,7/11/2024,9:00 AM,44.317995,-72.62651,3.96,3.50 - 5.24 in.
